lat,lon,pml_52,pml_60,pml_70,pml_77,ins_52,ins_60,ins_70,ins_77,risk_52,risk_60,risk_70,risk_77,gc_check
29.9,-87.7,0.17,0.12,0.05,0.02,1.353506,0.996353,0.405093,0.194956,1.738624,1.329536,0.76704,0.51136,11.44746
30.8,-87.7,0.19,0.14,0.06,0.03,1.481346,1.088238,0.450636,0.229313,3.426112,2.5568,1.431808,0.869312,12.50316
31.7,-85.9,0.25,0.19,0.09,0.05,2.008686,1.522095,0.712708,0.386716,6.749952,5.1136,2.863616,1.840896,17.4879
31.7,-86.8,0.25,0.19,0.09,0.05,2.015877,1.528487,0.717502,0.389113,6.596544,5.011328,2.81248,1.78976,17.56134
31.7,-87.7,0.23,0.17,0.08,0.04,1.833705,1.359099,0.59925,0.328389,7.261312,5.471552,2.965888,1.892032,15.61518
32.6,-85.0,0.26,0.19,0.09,0.05,2.044641,1.555653,0.736678,0.398701,7.210176,5.471552,3.06816,1.943168,17.87346
32.6,-85.9,0.27,0.2,0.1,0.05,2.126139,1.631558,0.789412,0.425867,8.744256,6.64768,3.732928,2.352256,18.74556
32.6,-86.8,0.26,0.19,0.09,0.05,2.041445,1.552457,0.734281,0.397103,9.306752,7.056768,3.886336,2.454528,17.83674
32.6,-87.7,0.25,0.19,0.09,0.05,1.963942,1.480547,0.683944,0.371535,9.664704,7.261312,3.988608,2.505664,17.01054
33.5,-85.9,0.26,0.2,0.09,0.05,2.074204,1.582819,0.755854,0.408289,8.897664,6.698816,3.732928,2.352256,18.18558
33.5,-86.8,0.25,0.19,0.09,0.05,2.036651,1.548462,0.731085,0.395505,9.920384,7.41472,4.09088,2.5568,17.79084
33.5,-87.7,0.25,0.19,0.09,0.05,1.978324,1.49413,0.692733,0.376329,10.278336,7.619264,4.142016,2.5568,17.1666
34.4,-85.9,0.24,0.18,0.08,0.04,1.90961,1.43021,0.648788,0.353957,8.846528,6.545408,3.477248,2.147712,16.4322
34.4,-86.8,0.28,0.21,0.11,0.06,2.218823,1.713855,0.84694,0.45543,10.99424,8.18176,4.448832,2.761344,19.6911
34.4,-87.7,0.26,0.2,0.1,0.05,2.10936,1.616377,0.778226,0.420274,11.403328,8.386304,4.499968,2.81248,18.57114
33.5,-91.3,0.24,0.18,0.08,0.05,1.951957,1.469361,0.675954,0.36754,10.380608,7.721536,4.193152,2.607936,16.88202
33.5,-92.2,0.25,0.19,0.09,0.05,1.993505,1.507713,0.70312,0.381922,11.198784,8.284032,4.499968,2.81248,17.32266
33.5,-93.1,0.24,0.18,0.08,0.05,1.951158,1.468562,0.675155,0.36754,11.76128,8.744256,4.704512,2.914752,16.87284
33.5,-94.0,0.26,0.19,0.09,0.05,2.043842,1.554854,0.735879,0.397902,12.221504,9.153344,5.011328,3.170432,17.86428
34.4,-91.3,0.26,0.19,0.09,0.05,2.04544,1.556452,0.736678,0.398701,9.46016,7.056768,3.8352,2.403392,17.88264
34.4,-92.2,0.26,0.2,0.1,0.05,2.087787,1.596402,0.764643,0.413083,11.045376,8.232896,4.499968,2.81248,18.34164
34.4,-93.1,0.26,0.2,0.1,0.05,2.116551,1.62197,0.78302,0.422671,12.477184,9.306752,5.1136,3.170432,18.6354
