Generator Name,Power Project Type,Capacity (MW),DC Capacity (MW),Owner,Power Project Status,Contract Price ($/MWh),Contract Type,Contract Price Type,Contract Offtaker Type,Hybrid Status,State,ISO,Latitude (Degrees),Longitude (Degrees),First Power Date,Year,hail_lat,hail_lon,hail_dist
Mark Center Solar Project: MRC1,Solar,90.0,117.0,Candela Renewables,In Construction,62.09,VPPA,Assumed,C&I,N,OH,PJM,41.288044,-84.61132,09/01/2026,2026,41.6,-85.0,0.4983860836098821
Austin TX GigaFactory: B05,Solar,1.2,1.6,Tesla,In Construction,58.44,,Assumed,,N,TX,ERCOT,30.22021,-97.61968,03/01/2026,2026,29.9,-97.6,0.3208141931087249
Novel Brock Solar: BROCK,Solar,1.0,1.3,Novel Energy Solutions,In Construction,112.0,PPA,Actual,Utility,N,MN,MISO,44.791225,-95.76654,12/01/2025,2025,45.2,-95.8,0.4101421366124237
Austin TX GigaFactory: A04,Solar,2.3,3.0,Tesla,In Construction,58.44,,Assumed,,N,TX,ERCOT,30.22021,-97.61968,03/01/2026,2026,29.9,-97.6,0.3208141931087249
Novel Swenson Solar CSG: SWNSN,Solar,1.0,1.3,Novel Energy Solutions,Operating,112.0,PPA,Actual,Utility,N,MN,MISO,45.492022,-92.86583,05/01/2025,2025,45.2,-93.1,0.3743159592964127
MN CSG 2019-17: MOORE,Solar,1.0,1.5,New Energy Equity,In Construction,112.0,PPA,Actual,Utility,N,MN,MISO,44.232719,-93.962469,07/01/2026,2026,44.3,-94.0,0.07704095613373001
Austin TX GigaFactory: C01,Solar,1.2,1.6,Tesla,Operating,57.87,,Assumed,,N,TX,ERCOT,30.22021,-97.61968,07/01/2025,2025,29.9,-97.6,0.3208141931087249
Dulles Solar and Storage: DUSO,Solar,100.0,130.0,Dominion Energy Virginia,In Construction,76.65,,Assumed,,Y,VA,PJM,38.95,-77.5,10/01/2026,2026,38.9,-77.8,0.3041381265149089
Fremont CA AutoFactory: STAMP,Solar,1.4,1.8,Tesla,In Construction,64.99,,Assumed,,N,CA,CAISO,37.49254,-121.9446,04/01/2026,2026,37.1,-121.9,0.3950655788600121
Fremont CA AutoFactory: GA3,Solar,1.5,2.0,Tesla,In Construction,64.99,,Assumed,,N,CA,CAISO,37.49254,-121.9446,04/01/2026,2026,37.1,-121.9,0.3950655788600121
