hail_lat,hail_lon,state,Year,DC Capacity (MW)
30.8,-87.7,Alabama,2026,22.241937857142855
31.7,-85.9,Alabama,2026,22.241937857142855
31.7,-86.8,Alabama,2026,22.241937857142855
31.7,-87.7,Alabama,2026,22.241937857142855
32.6,-85.0,Alabama,2026,22.241937857142855
32.6,-85.9,Alabama,2026,22.241937857142855
32.6,-86.8,Alabama,2026,22.241937857142855
32.6,-87.7,Alabama,2026,22.241937857142855
33.5,-85.9,Alabama,2026,22.241937857142855
33.5,-86.8,Alabama,2026,22.241937857142855
33.5,-87.7,Alabama,2026,22.241937857142855
34.4,-85.9,Alabama,2026,22.241937857142855
34.4,-86.8,Alabama,2026,22.241937857142855
34.4,-87.7,Alabama,2026,22.241937857142855
30.8,-85.0,Alabama,2026,22.241937857142855
30.8,-85.9,Alabama,2026,22.241937857142855
30.8,-86.8,Alabama,2026,22.241937857142855
31.7,-85.0,Alabama,2026,22.241937857142855
33.5,-85.0,Alabama,2026,22.241937857142855
34.4,-85.0,Alabama,2026,22.241937857142855
30.8,-87.7,Alabama,2027,6.1185346675934476
31.7,-85.9,Alabama,2027,6.1185346675934476
31.7,-86.8,Alabama,2027,6.1185346675934476
31.7,-87.7,Alabama,2027,6.1185346675934476
32.6,-85.0,Alabama,2027,6.1185346675934476
32.6,-85.9,Alabama,2027,6.1185346675934476
32.6,-86.8,Alabama,2027,6.1185346675934476
32.6,-87.7,Alabama,2027,6.1185346675934476
33.5,-85.9,Alabama,2027,6.1185346675934476
33.5,-86.8,Alabama,2027,6.1185346675934476
33.5,-87.7,Alabama,2027,6.1185346675934476
34.4,-85.9,Alabama,2027,6.1185346675934476
34.4,-86.8,Alabama,2027,6.1185346675934476
34.4,-87.7,Alabama,2027,6.1185346675934476
30.8,-85.0,Alabama,2027,6.1185346675934476
30.8,-85.9,Alabama,2027,6.1185346675934476
30.8,-86.8,Alabama,2027,6.1185346675934476
31.7,-85.0,Alabama,2027,6.1185346675934476
33.5,-85.0,Alabama,2027,6.1185346675934476
34.4,-85.0,Alabama,2027,6.1185346675934476
30.8,-87.7,Alabama,2028,7.099561886086212
31.7,-85.9,Alabama,2028,7.099561886086212
31.7,-86.8,Alabama,2028,7.099561886086212
31.7,-87.7,Alabama,2028,7.099561886086212
32.6,-85.0,Alabama,2028,7.099561886086212
32.6,-85.9,Alabama,2028,7.099561886086212
32.6,-86.8,Alabama,2028,7.099561886086212
32.6,-87.7,Alabama,2028,7.099561886086212
33.5,-85.9,Alabama,2028,7.099561886086212
33.5,-86.8,Alabama,2028,7.099561886086212
33.5,-87.7,Alabama,2028,7.099561886086212
34.4,-85.9,Alabama,2028,7.099561886086212
34.4,-86.8,Alabama,2028,7.099561886086212
34.4,-87.7,Alabama,2028,7.099561886086212
30.8,-85.0,Alabama,2028,7.099561886086212
30.8,-85.9,Alabama,2028,7.099561886086212
30.8,-86.8,Alabama,2028,7.099561886086212
31.7,-85.0,Alabama,2028,7.099561886086212
33.5,-85.0,Alabama,2028,7.099561886086212
34.4,-85.0,Alabama,2028,7.099561886086212
30.8,-87.7,Alabama,2029,7.934833990507714
31.7,-85.9,Alabama,2029,7.934833990507714
31.7,-86.8,Alabama,2029,7.934833990507714
31.7,-87.7,Alabama,2029,7.934833990507714
32.6,-85.0,Alabama,2029,7.934833990507714
32.6,-85.9,Alabama,2029,7.934833990507714
32.6,-86.8,Alabama,2029,7.934833990507714
32.6,-87.7,Alabama,2029,7.934833990507714
33.5,-85.9,Alabama,2029,7.934833990507714
33.5,-86.8,Alabama,2029,7.934833990507714
33.5,-87.7,Alabama,2029,7.934833990507714
34.4,-85.9,Alabama,2029,7.934833990507714
34.4,-86.8,Alabama,2029,7.934833990507714
34.4,-87.7,Alabama,2029,7.934833990507714
30.8,-85.0,Alabama,2029,7.934833990507714
30.8,-85.9,Alabama,2029,7.934833990507714
30.8,-86.8,Alabama,2029,7.934833990507714
31.7,-85.0,Alabama,2029,7.934833990507714
33.5,-85.0,Alabama,2029,7.934833990507714
34.4,-85.0,Alabama,2029,7.934833990507714
30.8,-87.7,Alabama,2030,5.947884257750102
31.7,-85.9,Alabama,2030,5.947884257750102
31.7,-86.8,Alabama,2030,5.947884257750102
31.7,-87.7,Alabama,2030,5.947884257750102
32.6,-85.0,Alabama,2030,5.947884257750102
32.6,-85.9,Alabama,2030,5.947884257750102
32.6,-86.8,Alabama,2030,5.947884257750102
32.6,-87.7,Alabama,2030,5.947884257750102
33.5,-85.9,Alabama,2030,5.947884257750102
33.5,-86.8,Alabama,2030,5.947884257750102
33.5,-87.7,Alabama,2030,5.947884257750102
34.4,-85.9,Alabama,2030,5.947884257750102
34.4,-86.8,Alabama,2030,5.947884257750102
34.4,-87.7,Alabama,2030,5.947884257750102
30.8,-85.0,Alabama,2030,5.947884257750102
30.8,-85.9,Alabama,2030,5.947884257750102
30.8,-86.8,Alabama,2030,5.947884257750102
31.7,-85.0,Alabama,2030,5.947884257750102
33.5,-85.0,Alabama,2030,5.947884257750102
34.4,-85.0,Alabama,2030,5.947884257750102
30.8,-87.7,Alabama,2031,10.37557347842468
31.7,-85.9,Alabama,2031,10.37557347842468
31.7,-86.8,Alabama,2031,10.37557347842468
31.7,-87.7,Alabama,2031,10.37557347842468
32.6,-85.0,Alabama,2031,10.37557347842468
32.6,-85.9,Alabama,2031,10.37557347842468
32.6,-86.8,Alabama,2031,10.37557347842468
32.6,-87.7,Alabama,2031,10.37557347842468
33.5,-85.9,Alabama,2031,10.37557347842468
33.5,-86.8,Alabama,2031,10.37557347842468
33.5,-87.7,Alabama,2031,10.37557347842468
34.4,-85.9,Alabama,2031,10.37557347842468
34.4,-86.8,Alabama,2031,10.37557347842468
34.4,-87.7,Alabama,2031,10.37557347842468
30.8,-85.0,Alabama,2031,10.37557347842468
30.8,-85.9,Alabama,2031,10.37557347842468
30.8,-86.8,Alabama,2031,10.37557347842468
31.7,-85.0,Alabama,2031,10.37557347842468
33.5,-85.0,Alabama,2031,10.37557347842468
34.4,-85.0,Alabama,2031,10.37557347842468
30.8,-87.7,Alabama,2032,10.542054106022581
31.7,-85.9,Alabama,2032,10.542054106022581
31.7,-86.8,Alabama,2032,10.542054106022581
31.7,-87.7,Alabama,2032,10.542054106022581
32.6,-85.0,Alabama,2032,10.542054106022581
